name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Cassy O',Wanted on Voyage (Expanded Edition),George Ezra,0KlUnDYTACNGFPFIUa3eZd,2014-06-30,59,184120,0.537,0.047,0.84,0.0,0.33,0.192,-4.799,0.0363,97.993,2,4,happy
Someone To You,Where The Shadow Ends,BANNERS,2f0pn9DkEJwAzXApnFh5cr,2019-10-04,78,219801,0.52,0.00517,0.903,0.0,0.254,0.652,-5.497,0.042,74.988,2,4,happy
Ain't It Fun,Paramore,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,2013-04-05,74,296520,0.61,0.154,0.893,4.41e-05,0.021,0.673,-3.681,0.0921,104.031,9,4,happy
Can I Call You Tonight?,Fuzzybrain,Dayglow,64lsIF5pw0sJY0gV5kz0RN,2019-11-14,82,278769,0.641,0.132,0.842,0.91,0.419,0.5,-7.27,0.0292,129.98,9,4,happy
American Teen,American Teen,Khalid,312WNtMs3F28cUukaPY9bo,2017-04-27,69,250746,0.658,0.0683,0.623,0.0,0.321,0.207,-6.934,0.0398,100.436,0,4,happy
Prom Queen,Prom Queen,Beach Bunny,6MpCaSIOfqBqbMED4kXgNY,2018-08-10,79,136562,0.528,0.000391,0.797,0.011,0.14,0.751,-7.487,0.0485,143.785,4,4,happy
Maniac,Kid Krow,Conan Gray,6KfoDhO4XUWSbnyKjNp9c4,2020-03-20,82,185773,0.628,0.00162,0.639,0.0,0.354,0.493,-5.46,0.0435,108.045,8,4,happy
Cigarette Daydreams,Melophobia,Cage The Elephant,6EThJr4Dq1Y93JspecGU2F,2013-10-04,1,208765,0.638,0.0822,0.668,0.0,0.0815,0.299,-3.442,0.0259,113.945,2,4,happy
1950,1950,King Princess,0CZ8lquoTX2Dkg7Ak2inwA,2018-02-23,72,225133,0.6,0.648,0.535,4.7e-06,0.162,0.269,-7.043,0.107,71.912,4,4,happy
Temporary Fix,Made In The A.M. (Deluxe Edition),One Direction,2Xcvt8NRLw0xbB3ClfW8MI,2015-11-13,66,175013,0.556,9.17e-05,0.902,0.0,0.0888,0.96,-5.143,0.0449,145.914,4,4,happy
Girl Almighty,FOUR (Deluxe),One Direction,5UgsZiYk1lkEobuPHmRtWm,2014-11-17,64,201853,0.508,0.0424,0.895,0.0,0.198,0.495,-3.745,0.0414,168.941,9,4,happy
She's Kinda Hot,Sounds Good Feels Good,5 Seconds of Summer,4o2Gc2Ub8ic5Zjt8DX78Re,2015-10-23,52,216454,0.664,0.00182,0.908,0.0,0.109,0.889,-4.806,0.0317,118.031,4,4,happy
Want You Back,Youngblood (Deluxe),5 Seconds of Summer,2vHfabj6nFebekTYODqntl,2018-06-15,65,173081,0.618,0.00699,0.867,1.03e-06,0.202,0.579,-4.915,0.0439,98.03,0,4,happy
Good Girls,5 Seconds Of Summer,5 Seconds of Summer,0BO6iWcPj20UGEl224pHWA,2014-06-27,56,206423,0.528,0.0152,0.911,0.0,0.121,0.576,-5.203,0.0792,141.064,4,4,happy
English Love Affair,5 Seconds Of Summer,5 Seconds of Summer,2Ep5yZhBqHfwg0Lj4BlNKb,2014-06-27,56,180922,0.529,0.0127,0.86,0.0,0.346,0.869,-4.517,0.115,150.003,8,4,happy
